word,coefficient,Keep
filed,0.34614341077813,0
wanting,0.345298159514272,0
city,0.344825457841101,0
jet,0.343904549072891,0
cat,0.343360929154969,0
deaf,0.341862356671286,0
murdered,0.341745523795623,0
passport,0.341606753286331,0
trash,0.338161452578538,1
~,0.338156622163358,0
testimony,0.335107175771038,0
woman,0.33486865910909,1
filibuster,0.333479326618461,0
#votingrightsnow,0.332963798514682,0
gotten,0.331956875139024,0
ma,0.331120727313696,0
loan,0.330803399334436,0
hall,0.329091225253082,0
pipe,0.328516951716543,0
handout,0.327547983476506,0
obama,0.325214333241523,0
perfect,0.320660662535243,0
worst,0.319900545981463,0
pharma,0.316948510733998,0
transit,0.315976921399103,0
released,0.311018151705388,0
murder,0.310888263018367,0
dress,0.310555734099187,1
sooner,0.310107382635985,0
pause,0.308821418851779,0
bloated,0.308322086382396,0
ship,0.307325368285582,0
vital,0.304510202443537,0
rule,0.303475577425232,0
id,0.303462632431685,0
quoted,0.303179267647123,0
sister,0.303133212085959,1
sellout,0.302909048697866,1
legal,0.300133088644378,0
delay,0.298915763334742,0
bar,0.298895439747506,0
blew,0.294740526338323,0
treating,0.294515047770411,0
group,0.294249374500618,0
10%,0.291965503776076,0
mine,0.291928842745479,0
awesome,0.29114884889869,1
list,0.290874036417699,0
lobbyist,0.290150303484057,0
🧐,0.29006890055478,0
affecting,0.289701943166919,0
🤑,0.289549823112801,0
cruelty,0.289246682798704,0
#votingrights,0.287204576255407,0
bye,0.285829841256278,1
canceled,0.28580447235376,1
within,0.283782324174534,0
animal,0.281913206176654,0
testing,0.281841224497021,0
transformational,0.279535979467148,0
border,0.279251059212376,0
anthem,0.279023669480725,0
firefighter,0.279002393983525,0
☝,0.275492932029225,0
dementia,0.275062036526669,0
gun,0.274826289964295,0
ongoing,0.27138497849969,0
promise,0.271298358405326,0
touting,0.271239254038526,0
daughter,0.271176604337629,1
greater,0.270650733484534,0
payroll,0.268860342286633,0
deport,0.268702722185278,0
import,0.268122763475334,0
preserve,0.267901327898195,0
marxist,0.267821579742867,1
build,0.266147983405547,0
murdering,0.265787555676046,0
highway,0.263476804844982,0
tweeting,0.261433148945126,0
equality,0.257968872575653,0
60002,0.25668248851279,0
blowing,0.255151875796854,0
quit,0.254738683014799,1
ruined,0.25318697780224,0
anybody,0.250979215234162,0
dependent,0.249741839484254,0
document,0.24936078794381,0
fooled,0.249116801553445,0
amazing,0.248282148061762,0
investigate,0.248136558513384,0
weed,0.24772977067007,0
insane,0.247643659709205,1
transaction,0.247143723891718,0
#resign,0.246900700402829,1
🐍,0.246543198652466,0
🌊,0.245848758314879,0
ignoring,0.244530135253005,0
pocket,0.244516344531774,0
comply,0.243848817207724,0
increased,0.243153938554237,0
sell,0.241739323638459,0
n,0.240831738646017,0
loophole,0.240731891650205,0
police,0.2397627745296,0
#publishera,0.239130454004807,0
dino,0.238807001490174,1
5,0.238208656386893,0
brother,0.236691624574157,1
#endthefilibuster,0.236510631604195,0
determine,0.23643585585477,0
antibody,0.234594481406003,0
affected,0.234117283365606,0
investigation,0.23405975738267,0
odd,0.23388763339708,0
