word,coefficient,Keep
reagan,-0.326661357709537,0
rinos,-0.324531149065764,1
overthrow,-0.32368176241962,0
cee,-0.323508119035946,0
trump’s,-0.323057459954782,0
laughing,-0.321479085266975,1
gqp,-0.320575192390286,1
wing,-0.319362471993606,0
mining,-0.319223429065652,1
today’s,-0.317915328200964,0
technology,-0.31636735410215,1
whine,-0.315614181167097,1
friday,-0.315195553008843,0
incapable,-0.311228304781297,0
trial,-0.310951617635912,0
recovery,-0.310820804166564,0
disease,-0.310255232088644,0
millionaire,-0.309475354343233,0
january,-0.309044433238527,0
pricing,-0.308800924116295,0
almost,-0.308190254211822,0
colleague,-0.307120309594435,0
governing,-0.305602376841935,0
poverty,-0.304556169395198,0
tolerated,-0.304423011115478,0
legitimate,-0.304186272019764,1
recognize,-0.30411310759447,0
hey,-0.303966608815188,1
provided,-0.303903315374534,0
2/3,-0.303260410377247,0
reply,-0.300655957882452,0
gas,-0.300058065771281,0
middle-class,-0.299739587294384,0
clown,-0.298729356118755,1
god,-0.297813812791605,1
stopped,-0.297082523784688,0
#goptraitorstodemocracy,-0.29638696660086,0
danger,-0.296316703313736,1
qualified,-0.295941534047517,0
santa,-0.295843099881336,1
score,-0.294794196681727,0
fails,-0.292847718738246,0
threat,-0.292816225091075,0
5th,-0.292486999022437,0
proverb,-0.289542272874194,0
cry,-0.289334405972778,1
safety,-0.28883649696292,1
afraid,-0.287112952537772,1
virtue,-0.286682797403054,1
whether,-0.286585411338609,0
modern,-0.286480515283319,1
completely,-0.286291131456545,0
honorable,-0.285520443312142,1
fee,-0.284709394516364,0
#usa,-0.284494638812489,0
urge,-0.284362154195435,0
capitol,-0.283817457146568,0
coup,-0.28328044347656,0
2019,-0.279701301848022,0
energy,-0.279051886004056,0
trafficker,-0.279044356952509,0
billionaire,-0.278039618937706,0
happy,-0.277293024029938,1
reflect,-0.276431830629272,0
raised,-0.276429610886966,0
massive,-0.276206898540461,0
$400.00,-0.276052641348754,0
halt,-0.275008788268144,0
tech,-0.274692420634559,1
🚀,-0.273812806477261,0
