word,coefficient,Keep
mexico,0.425322941204258,1
wheres,0.425079159193539,0
highlight,0.424949953127706,0
operation,0.424482228517111,0
#savedv2021,0.423337740154702,1
disappointment,0.41538101359454,0
caucus,0.413163562294503,0
double,0.412482189034215,0
amen,0.409727802631823,1
suppress,0.397707526261457,0
reform,0.393915285006551,0
immigration,0.39355143311327,1
launch,0.393401986039518,0
socialist,0.39107350793722,1
neither,0.390933816194717,0
exec,0.389087595145486,0
dem,0.388440088584851,0
48,0.387187465843942,0
monthly,0.385475577495081,0
electoral,0.384545033799637,0
gutted,0.383920648875995,0
expand,0.383727881104851,0
symptom,0.382678914070442,0
hahaha,0.379937646287263,1
⛄,0.377319407930229,0
roof,0.377268386515934,1
skyrocketing,0.377249928593978,0
60002,0.375882544904784,0
accepted,0.375178086141023,0
occupation,0.375070200734018,0
#bidenflation,0.374432055250605,1
gutting,0.372013366131461,0
rip,0.370748038948374,0
stuck,0.369784659506012,0
equality,0.369528258579326,1
training,0.369136483853495,0
each,0.368901780297891,0
☠,0.36820632013191,0
cry,0.367985788507978,1
pork,0.366856003517665,1
created,0.366225228365333,0
pride,0.361138309008248,0
surge,0.360339231831181,0
abuser,0.358249799573901,1
flame,0.358196663706528,0
crack,0.357770107723887,0
skull,0.357496275446434,0
praise,0.357478825925622,0
senate,0.356100025338816,0
among,0.3559156866756,0
packing,0.355261419657943,0
racist,0.354978503723933,1
occurred,0.354788870090438,0
condition,0.35302205849191,0
identify,0.352701341848116,0
stay,0.346833883067202,0
"better""",0.33805006012929,0
testing,0.33776381491117,0
tweeting,0.33518412289019,0
sir,0.332529496788392,1
reparation,0.331535585422909,0
ny,0.330597343493148,0
deduction,0.329940085781119,0
#letsgobrandon,0.32973874381283,0
70%,0.329623161897721,0
filibuster,0.329501485090042,1
nation’s,0.328976961752483,0
🏽,0.328592879404623,0
sickening,0.328494718181532,0
suppression,0.328489609335726,1
💔,0.32823391392655,0
gonna,0.327896714364955,0
salt,0.327784014757143,0
include,0.325294001050947,0
later,0.324779630737615,0
haiti,0.324572754568304,1
#democratsdeliver,0.324510958051559,0
moved,0.322503254015906,0
reach,0.321629823859869,0
hostage,0.321109709611797,0
aint,0.319150304813482,1
mayor,0.319145895227689,0
protocol,0.314059490441384,0
threw,0.313499904795831,0
subsidy,0.313316775579495,0
weve,0.312028753203011,0
/,0.311844897275963,0
around,0.311121347225559,0
bar,0.308925972328121,0
diversity,0.306304905731067,1
executive,0.306165226025852,0
dirt,0.306086345161509,0
lived,0.3047573359545,0
innocent,0.303889802862021,0
#bbb,0.303236843813399,0
employer,0.300810753349221,0
legal,0.300301037638371,1
arm,0.297909519797237,0
retiring,0.297389858390046,0
birthday,0.29674711873792,0
2024,0.295165045247554,0
finding,0.294973486945829,0
#جاویدشاه,0.294892347075869,0
illegals,0.294408622637456,1
venezuela,0.294018073514917,1
max,0.293702909120441,0
yr,0.292895470964287,0
recover,0.291144884981568,0
nor,0.291137282136938,0
cat,0.290536456245493,0
#dv2021,0.290303496894387,0
#iirira,0.289678842775005,0
affair,0.289324623306649,0
dems,0.288583319458839,0
third,0.288371645947232,0
😬,0.288297582402578,0
universe,0.287850408296218,0
democratic,0.287711732044428,0
hope,0.285050509409311,1
tonight,0.284833809579572,0
recovered,0.283678067057655,0
establishment,0.283271312216424,0
nomination,0.282951495794932,0
address,0.281152492369144,0
accomplished,0.279820423391946,0
sorry,0.276761405023529,1
sample,0.275879662321888,0
discrimination,0.27532426414323,1
emergency,0.273938108610953,0
300,0.273906782099482,0
hold,0.273317888981167,0
memory,0.27313615190072,0
lottery,0.272577067466128,0
respect,0.272536355786842,0
supremacist,0.272446066673561,1
rep,0.272319211521466,0
list,0.27078483034155,0
presidential,0.270757888694503,0
undermine,0.269111481123709,0
feeling,0.268580962071031,0
ass,0.268445343690601,1
❓,0.267660546802711,0
💯,0.267019839467991,0
texan,0.266953045653784,0
primary,0.266664011891151,0
island,0.266543533423041,0
illegally,0.266430765429056,0
