word,coefficient,Keep
georgia,-0.43275344723238,1
trade,-0.429708297103318,0
fda,-0.429328164530141,1
senator,-0.428974493605974,0
pretending,-0.428967150031877,0
they’ve,-0.426970652604494,0
millionaire,-0.425617560670758,1
intent,-0.420381668452927,0
#traitor,-0.419268682981813,1
stole,-0.418051732377741,0
church,-0.417918402106128,0
likely,-0.417395825403332,0
amendment,-0.417002756437355,0
bridge,-0.416345560946617,0
here’s,-0.41428855524941,0
🚀,-0.414212207766076,0
plant,-0.413832410579728,0
farm,-0.41343338134636,0
#gophypocrisy,-0.412406365251117,0
boat,-0.409439141239938,0
perfect,-0.409083772012182,0
served,-0.408849344127018,0
cell,-0.408540942714492,0
flag,-0.408466490419252,1
obtain,-0.407175895078181,0
honor,-0.405744355302499,0
tfg,-0.404439190619729,0
grift,-0.402698560371619,0
critical,-0.401683065674671,0
bear,-0.400505952681954,0
expectation,-0.399334502451595,0
35,-0.398432716902527,0
mile,-0.39816160802542,0
✅,-0.397654627421785,0
director,-0.397617345195409,0
sex,-0.397522675400909,1
lifetime,-0.397160576973143,0
cure,-0.395340353606657,0
foundation,-0.393830082700872,0
corporation,-0.393417032022612,0
bible,-0.393259859379457,1
emission,-0.391381665401226,1
stock,-0.390590041986034,0
prop,-0.390530662057548,0
pharmaceutical,-0.390459824260194,0
pot,-0.389339857993868,1
store,-0.388831129685266,0
reported,-0.387943580187067,0
argue,-0.387868894141908,0
inability,-0.38476072876679,0
trumpers,-0.384192177559074,0
puppet,-0.384131832490686,1
surely,-0.382157601050011,0
youve,-0.381124265177099,0
conduct,-0.379724109917478,0
complaining,-0.378052875412819,0
standard,-0.377978089198473,0
misleading,-0.377533632947978,0
attacked,-0.376451100107337,0
old,-0.376391720093073,0
dot,-0.374265829905368,0
killing,-0.372551228068266,1
sit,-0.370320704515483,0
ignorant,-0.369571617280555,0
track,-0.369106120021686,0
expect,-0.368084277652159,0
advocating,-0.367524697452938,0
billionaire,-0.365855948296787,0
daddy,-0.36577429695418,1
🎶,-0.364408347838665,0
refused,-0.363786888020238,0
hire,-0.363544173804365,0
source,-0.362821310498342,0
foreign,-0.360468266044086,1
taliban,-0.356626561001431,1
sen,-0.356085638640132,0
lawful,-0.356038349080857,0
fiscal,-0.355758865596818,0
stance,-0.355670418416376,0
#freedomtovoteact,-0.355223046716601,0
j6,-0.354070255690261,0
obstructed,-0.35365592143554,0
threat,-0.351372362369497,0
rigged,-0.351119903295575,1
gfy,-0.350854819393382,0
biden’s,-0.350173987133872,0
military,-0.350135995628366,1
ignore,-0.347912848803832,0
